Genotype	Treatment	Time_in_Weeks	target	Percentile	Cell_Number	Relative_percentile	Perc.Lower	Perc.Upper	Sd	Pvalue
Kras;p53;Cas9	None	14	Arid1a	0.8	3979.4	1.0956	1.0120	1.2692	0.0655	0.0299
Kras;p53;Cas9	None	14	Arid1a	0.9	10583.5	1.3111	1.1131	1.7108	0.1572	0.0008
Kras;p53;Cas9	None	14	Arid1a	0.95	23655	1.4161	1.1889	1.7260	0.1357	0.0000
Kras;p53;Cas9	None	14	Keap1	0.5	1167.5	0.9161	0.8530	0.9773	0.0308	0.0048
Kras;p53;Cas9	None	14	Keap1	0.6	1511.4	0.8989	0.8427	0.9684	0.0326	0.0015
Kras;p53;Cas9	None	14	Keap1	0.7	2101.5	0.8928	0.8355	0.9647	0.0330	0.0036
Kras;p53;Cas9	None	14	Keap1	0.8	3194.7	0.8795	0.8112	0.9623	0.0384	0.0064
Kras;p53;Cas9	None	14	Keap1	0.9	6903	0.8552	0.7260	1.0222	0.0744	0.0829
Kras;p53;Cas9	None	14	Keap1	0.95	16821.4	1.0070	0.7139	1.1964	0.1252	0.7153
Kras;p53;Cas9	None	14	Smad4	0.5	1245.4	0.9771	0.9182	1.0227	0.0270	0.2692
Kras;p53;Cas9	None	14	Smad4	0.6	1634.5	0.9721	0.9109	1.0276	0.0294	0.2559
Kras;p53;Cas9	None	14	Smad4	0.7	2245.4	0.9539	0.9091	1.0260	0.0301	0.2440
Kras;p53;Cas9	None	14	Smad4	0.8	3569.3	0.9827	0.9134	1.0651	0.0381	0.6243
Kras;p53;Cas9	None	14	Smad4	0.9	8486.2	1.0513	0.9275	1.2155	0.0728	0.4925
Kras;p53;Cas9	None	14	Smad4	0.95	18654.3	1.1167	0.9590	1.2655	0.0789	0.1975
Kras;p53;Cas9	None	14	Cdkn2a	0.5	1738.3	1.3639	1.2000	1.4808	0.0726	0.0000
Kras;p53;Cas9	None	14	Cdkn2a	0.6	2388.6	1.4206	1.2897	1.5737	0.0739	0.0000
Kras;p53;Cas9	None	14	Cdkn2a	0.7	3643.1	1.5476	1.3416	1.7429	0.1019	0.0000
Kras;p53;Cas9	None	14	Cdkn2a	0.8	6277.3	1.7282	1.4691	1.9839	0.1318	0.0000
Kras;p53;Cas9	None	14	Cdkn2a	0.9	14677.9	1.8184	1.4010	2.5326	0.2996	0.0000
Kras;p53;Cas9	None	14	Cdkn2a	0.95	33020.2	1.9767	1.2923	2.8895	0.4233	0.0002
Kras;p53;Cas9	None	14	p53	0.5	1295.4	1.0165	0.9630	1.0750	0.0292	0.6854
Kras;p53;Cas9	None	14	p53	0.6	1686.4	1.0030	0.9375	1.0690	0.0337	0.9285
Kras;p53;Cas9	None	14	p53	0.7	2288.6	0.9722	0.9035	1.0544	0.0393	0.4849
Kras;p53;Cas9	None	14	p53	0.8	3496.1	0.9625	0.8685	1.0618	0.0491	0.3656
Kras;p53;Cas9	None	14	p53	0.9	7342.3	0.9096	0.7755	1.0544	0.0697	0.1724
Kras;p53;Cas9	None	14	p53	0.95	14814.1	0.8868	0.7083	1.0526	0.0858	0.1166
Kras;p53;Cas9	None	14	Rbm10	0.5	1274.5	1.0000	0.9583	1.0417	0.0213	0.9963
Kras;p53;Cas9	None	14	Rbm10	0.6	1684.1	1.0016	0.9565	1.0465	0.0230	0.9108
Kras;p53;Cas9	None	14	Rbm10	0.7	2358.6	1.0020	0.9578	1.0674	0.0278	0.8031
Kras;p53;Cas9	None	14	Rbm10	0.8	3811.2	1.0493	0.9783	1.1537	0.0463	0.1837
Kras;p53;Cas9	None	14	Rbm10	0.9	10445.9	1.2941	1.0696	1.6685	0.1545	0.0050
Kras;p53;Cas9	None	14	Rbm10	0.95	25908.2	1.5510	1.2509	1.8230	0.1493	0.0002
Kras;p53;Cas9	None	14	Apc	0.5	1252.3	0.9826	0.9099	1.0590	0.0378	0.6923
Kras;p53;Cas9	None	14	Apc	0.6	1608.6	0.9567	0.9020	1.0588	0.0391	0.5061
Kras;p53;Cas9	None	14	Apc	0.7	2245.4	0.9539	0.8977	1.0709	0.0450	0.5884
Kras;p53;Cas9	None	14	Apc	0.8	3670.4	1.0105	0.8971	1.1721	0.0680	0.8955
Kras;p53;Cas9	None	14	Apc	0.9	9704.3	1.2022	0.9796	1.5642	0.1524	0.0812
Kras;p53;Cas9	None	14	Apc	0.95	26100.5	1.5625	1.1142	2.0863	0.2509	0.0103
Kras;p53;Cas9	None	14	Rb1	0.5	1681.4	1.3193	1.0732	1.7899	0.2046	0.0003
Kras;p53;Cas9	None	14	Rb1	0.6	2465.8	1.4665	1.1301	2.1628	0.2818	0.0002
Kras;p53;Cas9	None	14	Rb1	0.7	3944.2	1.6755	1.1995	2.9492	0.4907	0.0000
Kras;p53;Cas9	None	14	Rb1	0.8	8377.2	2.3063	1.3301	4.5480	0.9559	0.0000
Kras;p53;Cas9	None	14	Rb1	0.9	34581.3	4.2841	1.7367	8.3728	1.9287	0.0000
Kras;p53;Cas9	None	14	Rb1	0.95	140038	8.3832	2.9979	11.4065	2.6057	0.0000
Kras;p53;Cas9	None	14	Lkb1	0.5	1252.3	0.9826	0.9428	1.0404	0.0245	0.6917
Kras;p53;Cas9	None	14	Lkb1	0.6	1720.5	1.0233	0.9615	1.0857	0.0313	0.5943
Kras;p53;Cas9	None	14	Lkb1	0.7	2504.5	1.0639	1.0000	1.1672	0.0423	0.0516
Kras;p53;Cas9	None	14	Lkb1	0.8	4670.1	1.2857	1.1154	1.5181	0.1036	0.0000
Kras;p53;Cas9	None	14	Lkb1	0.9	31665.7	3.9229	2.1801	5.4028	0.7885	0.0000
Kras;p53;Cas9	None	14	Lkb1	0.95	129980.7	7.7812	5.7579	9.5615	0.9431	0.0000
Kras;p53;Cas9	None	14	Setd2	0.5	1274.5	1.0000	0.9303	1.0784	0.0382	0.9446
Kras;p53;Cas9	None	14	Setd2	0.6	1726.5	1.0268	0.9559	1.1429	0.0483	0.3818
Kras;p53;Cas9	None	14	Setd2	0.7	2720.4	1.1557	1.0175	1.3131	0.0772	0.0229
Kras;p53;Cas9	None	14	Setd2	0.8	4984.1	1.3722	1.1440	1.8126	0.1726	0.0001
Kras;p53;Cas9	None	14	Setd2	0.9	61070.7	7.5657	3.6221	11.0436	1.9304	0.0000
Kras;p53;Cas9	None	14	Setd2	0.95	220991.5	13.2295	8.8089	17.4276	2.2199	0.0000
